timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.033230,-0.417275,2.527885,0.077945,-1.057030,-0.695975,0.986335,0.212030,0.419500,2.518890,-0.078605,-1.043345,0.698525,0.984320,-0.212185
0.037810,-0.417415,2.522162,0.077904,-1.049798,-0.697590,0.985222,0.212067,0.420583,2.511705,-0.078622,-1.035026,0.701244,0.983158,-0.212229
0.042389,-0.418517,2.512340,0.077969,-1.037815,-0.702457,0.983515,0.211967,0.423685,2.499361,-0.078643,-1.022054,0.707322,0.981487,-0.212223
0.046969,-0.420251,2.503682,0.077999,-1.028001,-0.707133,0.982342,0.212009,0.427075,2.488726,-0.078642,-1.011802,0.712868,0.980233,-0.212267
0.051549,-0.422414,2.494975,0.078025,-1.018905,-0.712112,0.981276,0.212047,0.430324,2.478483,-0.078595,-1.002608,0.718587,0.979133,-0.212331
0.056129,-0.424426,2.487652,0.078066,-1.011601,-0.716523,0.980467,0.212045,0.433062,2.470137,-0.078631,-0.995446,0.723492,0.978190,-0.212359
0.060708,-0.427969,2.475660,0.078105,-1.000485,-0.723652,0.979331,0.212058,0.437453,2.456779,-0.078528,-0.984549,0.731033,0.976770,-0.212385
0.065288,-0.432407,2.461260,0.078097,-0.987991,-0.731748,0.978031,0.212111,0.442557,2.441248,-0.078493,-0.972478,0.739402,0.974928,-0.212399
0.069868,-0.437435,2.445334,0.078156,-0.975009,-0.740024,0.976618,0.212110,0.448083,2.424473,-0.078451,-0.960034,0.747585,0.973099,-0.212413
0.074448,-0.442992,2.428056,0.078164,-0.961524,-0.748287,0.974871,0.212044,0.453997,2.406585,-0.078421,-0.947407,0.755512,0.971808,-0.212393
0.079027,-0.448576,2.410820,0.078228,-0.948818,-0.756097,0.973502,0.212113,0.459907,2.389475,-0.078362,-0.936090,0.763436,0.971667,-0.212392
0.083607,-0.457749,2.383439,0.078340,-0.930397,-0.768435,0.973253,0.212022,0.469418,2.363071,-0.078218,-0.920356,0.775715,0.972363,-0.212456
0.088187,-0.464327,2.364833,0.078374,-0.919098,-0.776776,0.973186,0.212084,0.475882,2.345330,-0.078140,-0.910543,0.783771,0.973754,-0.212424
0.092766,-0.471003,2.346378,0.078463,-0.908528,-0.785014,0.974256,0.212126,0.482163,2.327708,-0.078095,-0.901276,0.791800,0.976439,-0.212407
0.097346,-0.475837,2.333064,0.078511,-0.901336,-0.790924,0.976009,0.212159,0.486558,2.315194,-0.078003,-0.894915,0.797868,0.979223,-0.212374
0.101926,-0.483270,2.312818,0.078566,-0.890892,-0.800617,0.979895,0.212153,0.492927,2.296392,-0.077856,-0.885863,0.807599,0.984087,-0.212325
0.106506,-0.490484,2.293020,0.078604,-0.881359,-0.810260,0.984297,0.212098,0.498555,2.278370,-0.077623,-0.877813,0.816920,0.988953,-0.212309
0.111085,-0.497181,2.273282,0.078579,-0.872710,-0.819322,0.988920,0.212144,0.503416,2.260645,-0.077310,-0.870465,0.825677,0.993908,-0.212399
0.115665,-0.502786,2.254872,0.078559,-0.865258,-0.827659,0.993266,0.212168,0.507507,2.244302,-0.076909,-0.864078,0.833753,0.998615,-0.212364
0.120245,-0.510795,2.226293,0.078571,-0.854516,-0.840775,1.000573,0.212159,0.513830,2.218668,-0.076150,-0.854694,0.846788,1.006378,-0.212313
0.124824,-0.515377,2.208576,0.078500,-0.848321,-0.849429,1.005378,0.212233,0.517898,2.202573,-0.075681,-0.849124,0.855338,1.011394,-0.212330
0.129404,-0.519383,2.192995,0.078479,-0.843092,-0.857218,1.009882,0.212222,0.521562,2.187963,-0.075127,-0.844177,0.863020,1.015974,-0.212299
0.133984,-0.523209,2.177714,0.078305,-0.838175,-0.865004,1.014484,0.212230,0.524933,2.173363,-0.074395,-0.839329,0.870634,1.020535,-0.212285
0.138564,-0.526917,2.162101,0.077854,-0.833282,-0.872602,1.019210,0.212134,0.528127,2.158162,-0.073425,-0.834496,0.877788,1.025262,-0.212275
0.143143,-0.530276,2.146641,0.077092,-0.828539,-0.879528,1.023970,0.212019,0.530854,2.142984,-0.072205,-0.829954,0.884332,1.029926,-0.212217
0.147723,-0.533257,2.131414,0.076019,-0.824080,-0.886088,1.028704,0.212025,0.533250,2.128200,-0.070829,-0.825875,0.890717,1.034390,-0.212187
0.152303,-0.535861,2.116193,0.074704,-0.819975,-0.892842,1.033492,0.211934,0.535472,2.113661,-0.069218,-0.822284,0.898162,1.038195,-0.212157
0.156883,-0.538395,2.100146,0.073102,-0.816057,-0.902202,1.037382,0.211840,0.538026,2.098548,-0.067332,-0.818812,0.908596,1.040497,-0.212153
0.161462,-0.541385,2.082200,0.070785,-0.812177,-0.914560,1.039152,0.211833,0.541495,2.080885,-0.064893,-0.815321,0.920353,1.041079,-0.212190
0.166042,-0.543636,2.068996,0.068894,-0.809683,-0.922728,1.039588,0.211804,0.544079,2.067259,-0.062908,-0.812765,0.928057,1.041365,-0.212158
0.170622,-0.545753,2.056731,0.066944,-0.807522,-0.929620,1.039885,0.211832,0.546410,2.054536,-0.061077,-0.810364,0.934742,1.041675,-0.212097
0.175201,-0.548154,2.042598,0.064630,-0.805124,-0.937508,1.040270,0.211745,0.548794,2.039981,-0.058896,-0.807540,0.942895,1.042197,-0.212013
0.179781,-0.550388,2.028273,0.062093,-0.802612,-0.946191,1.040808,0.211768,0.550859,2.025088,-0.056584,-0.804536,0.951705,1.043223,-0.211986
0.184361,-0.552314,2.013615,0.059327,-0.799940,-0.955197,1.042539,0.211766,0.552540,2.009297,-0.053911,-0.801316,0.960952,1.045821,-0.211959
